talo+Sg+Nom	talo
sairaala+Pl+Ad	sairaaloilla

sairaala+Sg+Abl	sairaalalta

sairaala+Pl+Abl	sairaaloilta

sairaala+Sg+All	sairaalalle

sairaala+Pl+All	sairaaloille

	+?

maa+Sg+Ill	maahan

maa+Pl+Ill	maihin

maa+Sg+In	maassa

maa+Pl+In	maissa

maa+Sg+El	maasta

maa+Pl+El	maista

maa+Sg+Ad	maalla

maa+Pl+Ad	mailla

maa+Sg+Abl	maalta

maa+Pl+Abl	mailta

maa+Sg+All	maalle

maa+Pl+All	maille

	+?

kala+Sg+Ill	kalaan

kala+Pl+Ill	kaloihin

kala+Sg+In	kalassa

kala+Pl+In	kaloissa

kala+Sg+El	kalasta

kala+Pl+El	kaloista

kala+Sg+Ad	kalalla

kala+Pl+Ad	kaloilla

kala+Sg+Abl	kalalta

kala+Pl+Abl	kaloilta

kala+Sg+All	kalalle

kala+Pl+All	kaloille

	+?

suu+Sg+Ill	suuhun

suu+Pl+Ill	suihin

suu+Sg+In	suussa

suu+Pl+In	suissa

suu+Sg+El	suusta

suu+Pl+El	suista

suu+Sg+Ad	suulla

suu+Pl+Ad	suilla

suu+Sg+Abl	suulta

suu+Pl+Abl	suilta

suu+Sg+All	suulle

suu+Pl+All	suille

	+?

perhe+Sg+Ill	perheen

perhe+Pl+Ill	perheihin

perhe+Sg+In	perhessä

perhe+Pl+In	perheissä

perhe+Sg+El	perhestä

perhe+Pl+El	perheistä

perhe+Sg+Ad	perhellä

perhe+Pl+Ad	perheillä

perhe+Sg+Abl	perheltä

perhe+Pl+Abl	perheiltä

perhe+Sg+All	perhelle

perhe+Pl+All	perheille

	+?

vapaa+Sg+Ill	vapaaseen

vapaa+Pl+Ill	vapaihin

vapaa+Sg+In	vapaassa

vapaa+Pl+In	vapaissa

vapaa+Sg+El	vapaasta

vapaa+Pl+El	vapaista

vapaa+Sg+Ad	vapaalla

vapaa+Pl+Ad	vapailla

vapaa+Sg+Abl	vapaalta

vapaa+Pl+Abl	vapailta

vapaa+Sg+All	vapaalle

vapaa+Pl+All	vapaille

	+?

vaikea+Sg+Ill	vaikeaan

vaikea+Pl+Ill	vaikaihin

vaikea+Sg+In	vaikeassa

vaikea+Pl+In	vaikaissa

vaikea+Sg+El	vaikeasta

vaikea+Pl+El	vaikaista

vaikea+Sg+Ad	vaikealla

vaikea+Pl+Ad	vaikailla

vaikea+Sg+Abl	vaikealta

vaikea+Pl+Abl	vaikailta

vaikea+Sg+All	vaikealle

vaikea+Pl+All	vaikaille

	+?

